,0,1,2
0,2020-02-21T16:11:30.000Z,1230887781443883008,#chennai flood request for clothes at shollingnellur# tweeting for project purpose
1,2020-02-21T14:22:27.000Z,1230860336984539136,"#35DToRAMCHARANs35thBday

Did His First Stage Performance And Donated a Huge 1CR of his Remuneration to the flood Affected City,Chennai 👏

Man With Golden Heart 💛
#35DToRAMCHARANs35thBday https://t.co/d17BG9sFpu"
2,2020-02-21T03:00:17.000Z,1230688665447235585,@JayasreeVijayan @bainjal @rohini_sgh @LambaAlka @INCIndia @ReallySwara @SimmiAhuja_ @salman7khurshid @SalmanNizami_ @khushsundar Then why don't you all protest #GlobalWarming and #ClimateChange. Because flood and other natural calamities will be comming soon. #Amazonfire #AustralianFires
3,2020-02-20T19:45:42.000Z,1230579299222200332,"I am expecting @ayushmannk #ShubhMangalZyadaSaavdhan to open anything in range between 
₹9cr-₹12cr, as multiplex audience will flood theatres after 5pm shows all over India... All set for a big opening.. Review by 11.30am.."
4,2020-02-20T18:26:46.000Z,1230559432473333760,". @TataCompanies 
Why should paying @TataSky customers suffer those annoying yellow messages promoting packages &amp; services? Horribly wrong to flood our televisions. It's an unfair trade practice. Action needed:
@irvpaswan
@MIB_India"
5,2020-02-20T18:14:49.000Z,1230556425941704705,"Why should paying @TataSky customers suffer those annoying yellow messages promoting packages &amp; services? Horribly wrong to flood our televisions. It's an unfair trade practice. Action needed:
@irvpaswan
@MIB_India"
6,2020-02-20T16:39:11.000Z,1230532360707416069,"#CITY | Two Flood Protection Projects  Started Today

To ensure flood and erosion protection in Dibrugarh, Hon'ble CM Shri Sadbananda Sonowal ceremonially started construction works of

- Embankment at Sesa river… https://t.co/kmyD68HHFa"
7,2020-02-20T11:51:46.000Z,1230460028831719424,"My take on flood victim farmers straddling on two states, their struggle for getting compensated, let them left in between. Thank you @MongabayIndia @kcmouli25 @sibi123 for helping me. #photojournalism #clinatechange #farmers #india #floodvictims 
https://t.co/Nrf13VYWt2"
8,2020-02-20T07:07:19.000Z,1230388446985777153,"The main target of the Kaleshwaram Lift Irrigation Project is to harness the flood waters of the Godavari River so that Telangana can be made drought-proof.
@JAGANTRS @ChandanTRS @SAINSS_TRS @MahinderMTech @varuntrs58 https://t.co/39RR3fWL3r"
9,2020-02-20T06:53:39.000Z,1230385006654246913,"Presented research paper in conference ICCDE 2020, on topic Urban flood mapping @IEEE_GRSS https://t.co/XemMxp6uVE"
